Time,Latitude,Longitude,Altitude,Hdop,Vdop,Pdop,NavigationMode,Satellites,OnTime
2023-05-26T05:08:46Z,31.247908,-81.284233,10,0.61,0.87,1.06,3,18,90
2023-05-26T07:10:26Z,31.247940,-81.284195,4,0.97,1.21,1.55,3,12,91
2023-05-26T09:12:05Z,31.247906,-81.284164,3,0.63,1.03,1.21,3,16,90
2023-05-26T11:13:44Z,31.247915,-81.284180,2,0.62,1.14,1.30,3,17,90
2023-05-26T13:15:22Z,31.247892,-81.284180,3,0.71,0.97,1.20,3,16,90
2023-05-26T15:17:03Z,31.247900,-81.284134,7,0.92,1.22,1.53,3,13,90
2023-05-26T17:18:42Z,31.247908,-81.284172,4,0.66,1.13,1.32,3,14,90
2023-05-26T19:20:25Z,31.247896,-81.284187,10,0.62,0.95,1.13,3,17,90
2023-05-26T21:22:04Z,31.247923,-81.284180,2,0.67,0.94,1.14,3,15,90
2023-05-26T23:23:44Z,31.247927,-81.284203,5,0.71,0.92,1.15,3,15,90
2023-05-27T01:25:23Z,31.247877,-81.284172,4,0.64,1.08,1.25,3,16,90
2023-05-27T03:27:03Z,31.247887,-81.284225,2,0.59,0.98,1.14,3,18,90
2023-05-27T05:28:43Z,31.247902,-81.284225,14,0.70,1.08,1.29,3,16,90
2023-05-27T07:30:22Z,31.247898,-81.284180,2,0.77,1.17,1.40,3,13,90
2023-05-27T09:32:01Z,31.247923,-81.284180,3,0.67,1.09,1.28,3,15,90
2023-05-27T11:33:41Z,31.247900,-81.284187,2,0.55,1.13,1.27,3,19,90
2023-05-27T13:35:19Z,31.247906,-81.284172,-1,0.80,1.11,1.37,3,16,90
2023-05-27T15:36:57Z,31.247904,-81.284187,5,0.71,0.95,1.18,3,14,90
2023-05-27T17:38:35Z,31.247902,-81.284164,4,0.61,1.07,1.23,3,16,90
2023-05-27T19:40:13Z,31.247936,-81.284203,4,0.62,0.96,1.13,3,17,90
2023-05-27T21:41:52Z,31.247929,-81.284172,10,0.78,1.13,1.38,3,15,91
2023-05-27T23:43:30Z,31.247911,-81.284180,9,0.70,1.19,1.38,3,14,90
2023-05-28T01:45:10Z,31.247911,-81.284203,7,0.67,1.03,1.23,3,15,90
2023-05-28T03:46:50Z,31.247885,-81.284195,1,0.66,1.02,1.22,3,17,90
2023-05-28T05:48:30Z,31.247908,-81.284218,12,0.57,0.80,0.99,3,19,90
2023-05-28T07:50:10Z,31.247936,-81.284164,7,0.67,0.85,1.08,3,15,90
2023-05-28T09:51:49Z,31.247923,-81.284180,3,0.57,0.93,1.09,3,19,90
2023-05-28T11:53:27Z,31.247904,-81.284180,4,0.56,0.94,1.10,3,19,90
2023-05-28T13:55:07Z,31.247892,-81.284180,-7,0.68,0.82,1.06,3,16,90
2023-05-28T15:56:49Z,31.247908,-81.284180,3,0.67,0.89,1.11,3,15,90
2023-05-28T17:58:32Z,31.247902,-81.284172,2,0.60,0.91,1.08,3,16,90
2023-05-28T20:00:11Z,31.247896,-81.284187,0,0.59,0.94,1.11,3,18,90
2023-05-28T22:01:50Z,31.247890,-81.284157,1,0.72,0.92,1.15,3,15,91
2023-05-29T00:03:29Z,31.247898,-81.284180,6,0.64,0.93,1.12,3,16,90
2023-05-29T02:05:08Z,31.247887,-81.284164,5,0.59,0.93,1.10,3,17,90
2023-05-29T04:06:47Z,31.247877,-81.284203,6,0.64,0.92,1.11,3,17,90
2023-05-29T06:08:26Z,31.247921,-81.284195,6,0.64,0.85,1.06,3,17,90
2023-05-29T08:10:05Z,31.247913,-81.284180,9,0.72,1.06,1.28,3,13,90
2023-05-29T10:11:44Z,31.247906,-81.284180,0,0.63,0.84,1.06,3,17,90
2023-05-29T12:13:23Z,31.247858,-81.284172,9,0.67,1.05,1.25,3,16,91
2023-05-29T14:15:01Z,31.247900,-81.284203,-1,0.65,0.95,1.14,3,17,90
2023-05-29T16:16:40Z,31.247910,-81.284195,7,0.81,1.14,1.40,3,13,90
2023-05-29T18:18:19Z,31.247875,-81.284172,-2,0.66,1.27,1.43,3,15,90
2023-05-29T20:19:58Z,31.247889,-81.284180,5,0.64,0.89,1.10,3,16,90
2023-05-29T22:21:37Z,31.247911,-81.284180,4,0.78,1.19,1.43,3,13,91
2023-05-30T00:23:17Z,31.247911,-81.284172,6,0.68,0.94,1.15,3,15,90
2023-05-30T02:24:56Z,31.247910,-81.284203,10,0.57,1.02,1.17,3,18,90
2023-05-30T04:26:36Z,31.247911,-81.284218,5,0.66,1.00,1.20,3,17,90
2023-05-30T06:28:14Z,31.247940,-81.284210,10,0.67,0.84,1.07,3,15,90
2023-05-30T08:29:54Z,31.247875,-81.284180,6,0.74,1.06,1.29,3,14,90
2023-05-30T10:31:33Z,31.247900,-81.284142,3,0.64,0.71,0.95,3,16,90
2023-05-30T12:33:12Z,31.247883,-81.284164,6,0.62,0.92,1.11,3,18,90
2023-05-30T14:34:50Z,31.247923,-81.284210,5,0.72,1.08,1.30,3,15,90
2023-05-30T16:36:28Z,31.247921,-81.284142,-1,0.67,0.98,1.19,3,14,90
2023-05-30T18:38:08Z,31.247883,-81.284164,6,0.75,1.32,1.52,3,15,90
2023-05-30T20:39:47Z,31.247902,-81.284187,6,0.69,0.97,1.19,3,15,90
2023-05-30T22:41:28Z,31.247921,-81.284172,11,0.78,1.15,1.39,3,14,90
2023-05-31T00:43:07Z,31.247908,-81.284203,9,0.66,0.89,1.11,3,15,90
2023-05-31T02:44:47Z,31.247896,-81.284210,6,0.59,1.13,1.29,3,17,90
2023-05-31T04:46:27Z,31.247902,-81.284241,9,0.61,0.89,1.08,3,18,90
2023-05-31T06:48:08Z,31.247908,-81.284111,18,0.86,1.26,1.53,3,13,90
2023-05-31T08:49:48Z,31.247906,-81.284203,11,0.65,1.03,1.22,3,16,90
2023-05-31T10:51:28Z,31.247898,-81.284172,4,0.61,1.14,1.30,3,17,90
2023-05-31T12:53:07Z,31.247879,-81.284157,7,0.72,1.04,1.26,3,16,91
2023-05-31T14:54:46Z,31.247923,-81.284149,5,0.78,1.03,1.29,3,14,90
2023-05-31T16:56:24Z,31.247913,-81.284157,8,0.67,1.13,1.32,3,14,90
