"NodeId","TestId","avgRSS","sdRSS","n.det","distance","NodeUTMx","NodeUTMy","TestUTMx","TestUTMy","e.dist"
"377E04","20",-89.4545454545455,3.20510955705531,11,260.278696784812,473050,3456831,472899,3457043,229.037882071338
"377E04","24",-79.4,0.843274042711568,10,172.652830848498,473050,3456831,473065,3457003,131.197988033001
"377E04","27",-92.0833333333333,1.88092498199125,12,243.673962499074,473050,3456831,473014,3457072,265.961173125397
"377E04","28",-91.0833333333333,0.288675134594813,12,271.773803005367,473050,3456831,473019,3457101,251.051067860214
"377E04","106",-72.0909090909091,0.539359889970594,11,154.841854806767,473050,3456831,472960,3456957,82.5614970506714
"37832D","11",-101.583333333333,1.37895436890245,12,764.73067154391,473198,3457466,472980,3456733,553.000191523332
"37832D","20",-103.142857142857,7.64697263472222,7,518.005791473416,473198,3457466,472899,3457043,720.322983441899
"37832D","24",-93.5454545454545,0.687551650952329,11,481.723987362058,473198,3457466,473065,3457003,290.132141775724
"37832D","27",-85.5,0.522232967867094,12,434.847099564893,473198,3457466,473014,3457072,184.338249884888
"37832D","28",-100.333333333333,0.984731927834662,12,406.529211742527,473198,3457466,473019,3457101,480.168031573355
"37832D","53",-95.2727272727273,4.49646325662535,11,185.002702682961,473198,3457466,473199,3457651,323.361468604506
"37832D","65",-92.1666666666667,1.74945879077104,12,430.711040025677,473198,3457466,473372,3457860,267.258590974456
"37832D","67",-102.666666666667,3.55902608401044,6,463.323860814442,473198,3457466,473408,3457879,652.05353538667
"37832D","71",-95.6666666666667,0.492365963917331,12,526.938326562037,473198,3457466,473338,3457974,331.83669817803
"37832D","74",-96.25,0.707106781186548,8,478.523771614326,473198,3457466,473315,3457930,345.130822390142
"37832D","91",-74.25,0.452267016866645,12,193.829822266853,473198,3457466,473339,3457599,95.6703504149687
"3787FC","24",-103.636363636364,1.02691063610494,11,773.256102465412,473320,3457733,473065,3457003,833.80107866213
"3787FC","27",-98,0.426401432711221,12,728.393437642048,473320,3457733,473014,3457072,391.775519813295
"3787FC","53",-78.8181818181818,0.603022689155527,11,146.16771189288,473320,3457733,473199,3457651,126.832108623753
"3787FC","65",-69.5,1.78376517003169,12,137.233377864133,473320,3457733,473372,3457860,67.9467204557538
"3787FC","67",-92.5833333333333,4.79504163093755,12,170.46993869888,473320,3457733,473408,3457879,273.883089007544
"3787FC","71",-79.9090909090909,0.301511344577764,11,241.671264324081,473320,3457733,473338,3457974,135.102871935876
"3787FC","74",-81.8333333333333,6.16195561244131,12,197.063441561341,473320,3457733,473315,3457930,150.639265624406
"3787FC","91",-71.1818181818182,2.18257562609784,11,135.340311806941,473320,3457733,473339,3457599,77.3035127145054
"37899C","9",-96.75,2.05049883066181,12,410.46437117002,472800,3457085,472945,3456701,357.323043094456
"37899C","11",-103.166666666667,2.48327740429189,6,395.353006817958,472800,3457085,472980,3456733,724.4819179563
"37899C","20",-88.4545454545455,2.76996882161646,11,107.54068997361,472800,3457085,472899,3457043,216.69502605633
"37899C","28",-94,0.426401432711221,12,219.583697026897,472800,3457085,473019,3457101,298.324864345334
"37899C","53",-104.083333333333,0.996204919895622,12,692.500541516034,472800,3457085,473199,3457651,1093.47989170272
"37899C","91",-101.166666666667,0.389249472080761,12,744.793259905056,472800,3457085,473339,3457599,525.476854302077
"37899C","106",-88.3333333333333,0.492365963917331,12,204.899975597851,472800,3457085,472960,3456957,215.252379789851
"378CBC","9",-58.4166666666667,0.514928650544437,12,10.6301458127346,472937,3456708,472945,3456701,15.7358107920399
"378CBC","11",-98.8333333333333,4.04145188432738,12,49.7393204617835,472937,3456708,472980,3456733,418.827739156569
"378CBC","24",-102.818181818182,0.750757193529548,11,321.57269784607,472937,3456708,473065,3457003,671.219324713261
"378CBC","27",-103,0.447213595499958,11,372.055103445713,472937,3456708,473014,3457072,697.129632508978
"378E5C","9",-81.8181818181818,0.603022689155527,11,189.76301009417,472818,3456842,472945,3456701,150.511792798176
"378E5C","11",-93.6666666666667,1.49747261825525,12,195.256241897666,472818,3456842,472980,3456733,292.282292326023
"378E5C","20",-87.1666666666667,9.74057430949469,12,216.707175700298,472818,3456842,472899,3457043,201.903826472376
"378E5C","24",-91.7272727272727,1.79392915639994,11,294.838939083697,472818,3456842,473065,3457003,260.516087905905
"378E5C","27",-83.9166666666667,0.668557923421521,12,302.185373570595,472818,3456842,473014,3457072,169.042397959391
"378E5C","53",-102.583333333333,1.72986249234563,12,894.227040521589,472818,3456842,473199,3457651,642.287819592874
"378E5C","71",-102.454545454545,0.820199532264724,11,1245.72228044617,472818,3456842,473338,3457974,628.125133119938
"378E5C","106",-83.6363636363636,1.5015143870591,11,182.726571685675,472818,3456842,472960,3456957,166.459236856927
"378EEC","11",-101.666666666667,0.65133894727893,12,870.683639446613,473453,3457464,472980,3456733,559.022128681735
"378EEC","24",-97,1.09544511501033,11,602.548753214211,473453,3457464,473065,3457003,363.72817890408
"378EEC","27",-96,0.738548945875996,12,588.544815625794,473453,3457464,473014,3457072,339.31818781863
"378EEC","28",-104,0.738548945875996,12,565.795899596312,473453,3457464,473019,3457101,1010.5256238357
"378EEC","53",-103.416666666667,1.08362466945083,12,315.412428417144,473453,3457464,473199,3457651,774.788751936511
"378EEC","67",-99.9166666666667,1.78164037455442,12,417.432629294836,473453,3457464,473408,3457879,461.034909048739
"378EEC","74",-98.5454545454545,1.86352549559357,11,486.004115208915,473453,3457464,473315,3457930,409.037349194455
"378EEC","91",-98.7272727272727,1.1037127426019,11,176.694651871527,473453,3457464,473339,3457599,415.161337064612
"3790DC","9",-82.3333333333333,3.44656174742132,12,135.0037036529,472946,3456836,472945,3456701,154.894965075817
"3790DC","11",-82.3333333333333,7.65545952938559,12,108.466584716216,472946,3456836,472980,3456733,154.894965075817
"3790DC","20",-78,1.12815214963553,12,212.268697645225,472946,3456836,472899,3457043,120.858772718048
"3790DC","24",-82.9090909090909,1.13618180363404,11,205.060966544099,472946,3456836,473065,3457003,159.917509795979
"3790DC","27",-78,0,12,245.60130292814,472946,3456836,473014,3457072,120.858772718048
"3790DC","28",-89.6666666666667,0.492365963917331,12,274.870878777654,472946,3456836,473019,3457101,231.763276680774
"3790DC","106",-77.5833333333333,1.50504203102489,12,121.807224744676,472946,3456836,472960,3456957,117.888012546289
"37A395","27",-103.636363636364,0.80903983495589,11,1007.65569516576,473453,3457979,473014,3457072,833.80107866213
"37A395","53",-99.3333333333333,1.55699788832305,12,414.849370253831,473453,3457979,473199,3457651,437.142901726071
"37A395","65",-76.0833333333333,1.37895436890245,12,143.951380681117,473453,3457979,473372,3457860,107.564956063312
"37A395","67",-87.6666666666667,6.75995337979262,12,109.658560997307,473453,3457979,473408,3457879,207.509316050603
"37A395","71",-72.1666666666667,0.389249472080761,12,115.108644332213,473453,3457979,473338,3457974,83.0063542670932
"37A395","74",-84.7,1.70293863659264,10,146.441114445363,473453,3457979,473315,3457930,176.454796731269
"37A395","91",-90.9090909090909,0.831209414593634,11,396.731647338601,473453,3457979,473339,3457599,248.569576641321
"37A831","9",-98.5833333333333,7.51311983778841,12,305.692656110676,473063,3456983,472945,3456701,410.296878888487
"37A831","11",-87,1.53741222957161,12,263.417918904542,473063,3456983,472980,3456733,200.071765619046
"37A831","20",-79.8333333333333,5.99747421584261,12,174.631039623545,473063,3456983,472899,3457043,134.516640749532
"37A831","24",-54.4545454545455,0.522232967867094,11,20.0997512422418,473063,3456983,473065,3457003,0.0995224629065894
"37A831","27",-81.5833333333333,3.14666730867996,12,101.59724405711,473063,3456983,473014,3457072,148.546906864624
"37A831","28",-86.25,0.753778361444409,12,125.936491931449,473063,3456983,473019,3457101,192.040924478252
"37A831","91",-94.1666666666667,0.717740562565273,12,675.00518516527,473063,3456983,473339,3457599,301.420365197169
"37A831","106",-61.6363636363636,0.504524979109513,11,106.230880632705,473063,3456983,472960,3456957,29.4724837569328
"37A87B","9",-70.5833333333333,1.56427928995103,12,133.003759345366,472944,3456834,472945,3456701,73.9203694136955
"37A87B","11",-77.1818181818182,0.873862897505303,11,107.224064463161,472944,3456834,472980,3456733,115.068900396844
"37A87B","20",-90.5833333333333,2.77843426585856,12,213.789616211826,472944,3456834,472899,3457043,244.016101652006
"37A87B","24",-81.5454545454545,0.820199532264724,11,207.850908104824,472944,3456834,473065,3457003,148.231898887892
"37A87B","27",-82.5454545454545,0.522232967867094,11,248.080632053371,472944,3456834,473014,3457072,156.72984554652
"37A87B","28",-95.5833333333333,0.514928650544437,12,277.33373397407,472944,3456834,473019,3457101,330.011812517418
"37A87B","91",-98.0909090909091,0.700649049745371,11,860.958767886128,472944,3456834,473339,3457599,394.54495233519
"37A87B","106",-93.4545454545455,2.20742548520381,11,124.036285013701,472944,3456834,472960,3456957,288.53547039848
"37A91B","9",-103,4.72902065586907,12,525.889722280251,473081,3457209,472945,3456701,697.129632508978
"37A91B","11",-92.75,1.76454990398015,12,486.597369495562,473081,3457209,472980,3456733,276.599469005797
"37A91B","20",-94.3333333333333,3.47283832917774,12,246.333107803235,473081,3457209,472899,3457043,304.56754227165
"37A91B","24",-80,0.816496580927726,10,206.620424934226,473081,3457209,473065,3457003,135.808764120914
"37A91B","27",-71.9166666666667,0.288675134594813,12,152.505737596984,473081,3457209,473014,3457072,81.542291647361
"37A91B","28",-85.4166666666667,0.668557923421521,12,124.531120608465,473081,3457209,473019,3457101,183.501505024337
"37A91B","53",-101.083333333333,0.90033663737852,12,457.480054210017,473081,3457209,473199,3457651,520.423481585935
"37A91B","65",-104.083333333333,1.67648622440092,12,713.079238233732,473081,3457209,473372,3457860,1093.47989170272
